"[0, 0, 0]","[0, 0, 1]","[0,1,1]","[1,1,1]"
1381.102277309235,1384.83475764845,1385.9909609320073,1386.1648435592651
1449.297879672963,1453.9416475919907,1439.2509040080274,1429.2773323059082
1529.2124870487635,1503.2718349560616,1511.394873571697,1498.932787179947
1552.5153826230116,1513.9809076760976,NaN,1519.3255651593208
