lv1,lv2,lv3,lv4
1376.7969064712524,1439.9794807434082,1486.165789604187,1520.0522319674492
1388.6301832199097,1442.47376537323,1500.4834080934525,1520.2816557884216
1383.250286102295,1441.889105796814,1493.1724872589111,1520.2048923969269
1381.6319904327393,1441.5939893722534,1491.2409586906433,1520.1826345324516
1375.8297080993652,1441.6408414840698,1485.0188174247742,1520.2493254244328
1374.3417835235596,1439.928942680359,1483.790870666504,1520.0741043388844
1384.1527366638184,1432.7811441421509,1496.3319594860077,1519.390123307705
1383.4717464447021,1434.8768167495728,1494.8924434185028,1519.555543243885
1372.5020370483398,1430.0667934417725,1483.6715550422668,1519.1190057396889
1378.5453042984009,1434.7174792289734,1488.9590301513672,1519.5274761915207
1383.9515104293823,1439.165584564209,1494.571979045868,1519.9385716319084
1386.7561149597168,1431.2600898742676,1500.3717027902603,1519.3166578412056
1386.3375272750854,1443.679573059082,1496.9540543556213,1520.3828924894333
1380.4210042953491,1433.678291797638,1491.3755016326904,1519.4389709234238
1379.517448425293,1439.2731304168701,1489.178794145584,1519.9578503370285
1371.6463594436646,1431.2045578956604,1482.5947699546814,1519.2190946936607
1386.3382396697998,1432.5670909881592,1499.3984071016312,1519.4054775238037
1374.6898221969604,1428.9889211654663,1486.1710572242737,1519.0315477252007
1378.1178827285767,1435.4822521209717,1488.3223757743835,1519.5975674688816
1377.6124420166016,1434.2023000717163,1488.0344071388245,1519.4815344810486
1384.6591482162476,1442.5503721237183,1494.8734812736511,1520.2683920264244
1375.0557289123535,1441.1364755630493,1484.3355164527893,1520.2021225094795
1377.5105171203613,1432.9582829475403,1488.2016987800598,1519.3714502453804
1383.9680004119873,1438.3357787132263,1494.7620162963867,1519.8619055747986
1373.305362701416,1428.8967180252075,1484.765817642212,1519.0210739970207
1386.1600160598755,1439.517029762268,1497.4822194576263,1519.9816743135452
1380.3203115463257,1428.951862335205,1492.5708451271057,1519.0556318163872
1373.2032222747803,1436.0444054603577,1483.2125067710876,1519.6719300448895
1382.5347337722778,1436.036937236786,1493.4189262390137,1519.6506388783455
1381.2054681777954,1442.2910013198853,1490.6299562454224,1520.2591959834099
1385.9488587379456,1441.9786739349365,1496.7149729728699,1520.2125079631805
1382.1549701690674,1440.4998588562012,1492.055196762085,1520.068682551384
1384.0212831497192,1433.642002105713,1495.9269397258759,1519.457873404026
1382.7076034545898,1435.2117757797241,1493.8284425735474,1519.5795595049858
1372.551856994629,1434.432231426239,1482.8514924049377,1519.5164291262627
1386.6076164245605,1442.5107803344727,1497.5362532138824,1520.2670902609825
1384.2756652832031,1430.5835933685303,1497.132507801056,1519.2217252254486
1381.604063987732,1440.4063472747803,1491.4055676460266,1520.0614530444145
1378.89115524292,1442.2279996871948,1488.0520367622375,1520.2755954265594
1383.709478378296,1438.713279724121,1494.34831905365,1519.8959178328514
1381.5466442108154,1434.6491541862488,1492.508632183075,1519.5261369347572
1383.6936292648315,1433.6058511734009,1495.5033576488495,1519.4518653154373
1373.937967300415,1432.6082830429077,1484.5303797721863,1519.3420014083385
1388.3755283355713,1434.1454105377197,1501.9281862974167,1519.571575641632
1381.6489706039429,1442.7608938217163,1491.0800261497498,1520.305903494358
1379.9849395751953,1427.1879954338074,1492.7492299079895,1518.919535368681
1372.6963634490967,1428.4459385871887,1484.271541595459,1518.982731550932
1385.6239233016968,1439.8502869606018,1496.6715128421783,1520.0086557865143
1382.790319442749,1434.7954692840576,1494.0333805084229,1519.544383943081
1373.2202644348145,1427.2349963188171,1485.1445698738098,1518.885667026043
1388.09517288208,1435.4547781944275,1501.1806826591492,1519.6658695340157
1381.326301574707,1441.927306175232,1490.8269293308258,1520.2196205854416
1385.7299661636353,1429.8126382827759,1499.3687658309937,1519.1896864175797
1378.9227752685547,1436.3941593170166,1489.036431312561,1519.6808715462685
1381.3106756210327,1432.0633058547974,1492.874174118042,1519.3084725141525
1381.0402851104736,1440.3109998703003,1490.7530164718628,1520.0544625520706
1385.6047525405884,1440.6803874969482,1496.4830639362335,1520.086345076561
1380.039192199707,1435.3067846298218,1490.546040058136,1519.580682337284
1382.0374164581299,1438.8675470352173,1492.2107565402985,1519.909569323063
1382.4031887054443,1430.8609762191772,1494.590273141861,1519.2212036252022
1378.4852485656738,1437.1390447616577,1488.4065890312195,1519.7526814937592
1376.5173358917236,1430.7918462753296,1487.645447731018,1519.1849723756313
1381.6398296356201,1435.0823502540588,1492.5217077732086,1519.563996732235
1371.5068187713623,1435.0749979019165,1481.7936897277832,1519.5851731300354
1380.7972011566162,1430.7229599952698,1492.617534160614,1519.1974368095398
1383.0231113433838,1433.5325298309326,1494.648496389389,1519.4403082728386
1379.6392154693604,1441.9949502944946,1488.8961453437805,1520.2417267560959
1377.7854490280151,1428.7761030197144,1489.6292881965637,1519.0258152484894
1375.8355293273926,1427.8027925491333,1487.7462692260742,1518.9400823414326
1381.4175786972046,1440.3747701644897,1491.1883568763733,1520.0590969324112
1371.5204830169678,1429.994023323059,1482.7373805046082,1519.1126548051834
1378.1769046783447,1440.593759059906,1487.5116815567017,1520.104758232832
1377.511242866516,1426.6177353858948,1490.0148043632507,1518.8576303720474
1373.8241891860962,1432.196174621582,1484.503321647644,1519.3051287531853
1384.953673362732,1431.5353264808655,1497.7669434547424,1519.3036668896675
1382.4620790481567,1427.3372430801392,1495.81396317482,1518.9577895998955
1386.1450481414795,1431.6510081291199,1499.3884172439575,1519.332732975483
1387.186237335205,1442.6193494796753,1498.3385218381882,1520.280927836895
1384.949444770813,1436.7831234931946,1496.4052221775055,1519.729443371296
1388.0272359848022,1432.2952861785889,1501.9154858589172,1519.4244210124016
1379.3461809158325,1440.41353225708,1488.8041265010834,1520.0757356882095
1388.8689260482788,1435.5565776824951,1502.3113861083984,1519.6936764717102
1373.2015571594238,1429.30095911026,1484.5556178092957,1519.0545935630798
1374.6287097930908,1438.1322965621948,1484.273609638214,1519.8759835064411
1386.8061289787292,1433.5127506256104,1499.8046768903732,1519.4868754148483
1384.5349187850952,1438.840178489685,1495.4053573608398,1519.910248219967
1373.9404945373535,1430.9923453330994,1484.8884148597717,1519.1991729736328
1380.1466884613037,1440.5509357452393,1489.6804621219635,1520.0842442512512
1383.6598529815674,1442.3624410629272,1493.611076593399,1520.251818716526
1380.698088645935,1433.2846240997314,1491.8061108589172,1519.4065143465996
1381.302809715271,1440.750436782837,1490.9886417388916,1520.0977144241333
1373.159990310669,1426.398097038269,1485.337593793869,1518.8191703557968
