pH,pH_lower_upper,pL,pL_lower_upper
1461.5323071915761,"(38.395599020494046, 24.84837967661997)",1401.8843290274722,"(36.377777884556735, 17.105574360084802)"
21.332050067253867,"(21.245965808125927, 49.92760904286913)",43.435503416472514,"(43.43550341647244, 35.92841051068048)"
