lv1,lv2,lv3,lv4
1377.8812232851376,1458.562444759595,1495.7615710053992,1512.5377120833532
1385.007905240385,1460.1614911350448,1506.0888353933194,1514.858962896159
1381.753293111301,1459.7506871947267,1501.8114547287707,1513.3913412342806
1380.7773706406836,1459.5570308468687,1500.3183150073576,1513.135739953693
1377.1462909713148,1459.265373064259,1494.513238507244,1512.7041355238555
1376.3256781360615,1458.3564594073414,1493.3063466540755,1512.413439474724
1382.9578828299868,1455.6132726913136,1502.9510100423443,1513.2773437699232
1382.374660609932,1456.592138514383,1502.3879413385332,1513.091690940494
1376.1139335363403,1453.1094139614584,1493.6069290204975,1511.008270565665
1379.3977276693008,1456.1663569788511,1498.2377084159432,1512.1356403782163
1382.352649123251,1458.5958877469716,1502.57463407774,1513.3644112629897
1384.6382085326466,1455.0243429726838,1504.467226439001,1514.3839109555427
1383.5442926455426,1460.591338874953,1504.4382521259731,1514.1299150206755
1380.6354109469514,1455.7940479045164,1500.0197510049666,1512.353472110585
1379.6303708192706,1458.41027104905,1498.5384756516826,1512.677763791961
1375.4345971267467,1453.6337259222714,1492.5505305905097,1511.0846336295695
1384.2772665672487,1455.6482834874441,1504.299362217841,1514.1219546781463
1377.6175565550172,1452.7602206992392,1495.8099981680793,1511.1199114219664
1379.0673065510493,1456.5108944673457,1497.7332937315048,1512.1535258204244
1378.8702286524122,1455.8311442389343,1497.4641175596282,1511.9719577977885
1382.5774003468814,1460.0795746547221,1503.0400098827433,1513.6911198157425
1376.6896155370073,1458.9790156092517,1493.8106551220822,1512.6066221291358
1378.9257670784364,1455.1873388966826,1497.5709696625045,1511.8445593074402
1382.4182921273932,1458.2261415166586,1502.624946243712,1513.3314512213283
1376.7642350805663,1452.547748282556,1494.606036624262,1510.9515031250703
1383.6705997728966,1458.8446350522531,1504.3044905788677,1513.9646215629082
1381.051761735156,1453.3096405854246,1500.4526456616204,1512.1379326581869
1375.9300031179393,1456.351219388582,1492.9423635596413,1511.82784438233
1381.7179239344807,1457.0868823307133,1501.5770975806997,1512.9049080703874
1380.4704008560827,1459.8408231777423,1499.8402161530028,1513.1498330284585
1383.3981045116607,1459.8827042766898,1504.135612073027,1513.965849361392
1381.1690306741848,1459.101904069829,1500.904757385433,1513.116726490468
1382.8056334721139,1456.0288437900786,1502.8375655250807,1513.2341193218588
1381.8875651228557,1456.7047579740356,1501.7727285810306,1512.9090238350543
1375.668147736406,1455.4583387833334,1492.6595088218621,1511.5733733931957
1383.770940558924,1460.122591005078,1504.653268969042,1514.1648186273524
1383.2335456728997,1454.5063579941223,1503.0688225520908,1513.3614466906236
1380.837181193959,1459.0343766212718,1500.400184430381,1513.0305333715728
1379.0362965244194,1459.706347402194,1497.5432482527146,1512.9402234127342
1382.2358284403479,1458.3828810373193,1502.3939367655043,1513.289197386653
1381.2325693566886,1456.3556686226573,1500.8679891417582,1512.6277591743242
1382.6125987001924,1455.9897695505217,1502.6052028429337,1513.1336151833914
1376.7365272009267,1454.6536295738417,1494.35777030058,1511.4355271105155
1385.3644682710021,1456.522861042915,1505.4311584037669,1514.9997081595461
1380.7155101081742,1460.060910294374,1500.2284176616474,1513.2429689611959
1381.0612310468032,1452.2902018061516,1500.398525712339,1512.0280331347744
1376.4382318051,1452.2167434261241,1494.1715951792469,1510.8385689098595
1383.3242876004113,1458.9676311068179,1503.8996587136417,1513.811291665081
1381.971157544193,1456.5097828385226,1501.8645586822638,1512.9139220331217
1376.927461395809,1451.5783720385073,1494.9266178884052,1510.7694725015992
1385.1024673257966,1457.117663465515,1505.3812628273397,1514.7921947656096
1380.5678382430192,1459.6884882363022,1499.9929802381198,1513.1292525117826
1384.167961732055,1454.2112890740057,1503.8877414667584,1514.001320558742
1379.4862434467484,1457.016449136107,1498.3505706590952,1512.3346234954977
1381.3222413623637,1455.0446223324793,1500.9068125454323,1512.4649853102892
1380.4969705030594,1458.963990016998,1499.8776387560983,1512.9488352239532
1383.2625036106613,1459.3235493993068,1503.8751262913904,1513.8302221535291
1380.2612182278644,1456.5700546741364,1499.503157948662,1512.3976492363286
1381.2072328398172,1458.3675105938657,1500.931983887907,1512.977372685455
1382.0934848844497,1454.508167861512,1501.8144852887265,1512.7309759154998
1379.1555310084461,1457.3425573868158,1497.8368945842954,1512.356731893949
1378.5388232132188,1453.949314538333,1497.0597479734893,1511.5213142920043
1381.2528159350543,1456.5726015796147,1500.9078445829787,1512.6692666306735
1374.9305305289115,1455.6736397814925,1491.5199846136989,1511.6101963136705
1381.146538432231,1454.3052205481238,1500.6334191835,1512.2997216531933
1382.217074674508,1455.9088576817028,1502.115818730268,1512.9403865035024
1379.5181667704123,1459.6404266488355,1498.3243625118473,1512.9711127458975
1379.544034053648,1452.9699136607169,1498.4862087308106,1511.577272718266
1378.473451685048,1452.2129923137236,1497.0419023887123,1511.1798081112775
1380.724718735962,1459.0112402882817,1500.227987832422,1513.0028117790032
1375.4976156893563,1452.94773881476,1492.731002091457,1510.9184732444562
1378.7020218614555,1458.9334613319913,1497.0479649129543,1512.7019663335652
1379.6491172119909,1451.7079838842144,1498.622662266242,1511.4189545165398
1376.7085365546727,1454.4222570529414,1494.3397169817995,1511.3767807401455
1383.5455757046486,1455.042673221293,1503.4778852351806,1513.5905467774426
1382.512355010829,1452.605489052781,1502.0420442609459,1512.8078790324284
1384.241916035095,1455.1809942598516,1504.1642266008064,1514.0811967299403
1384.118453065122,1460.1831090743033,1505.0934038093976,1514.3425120020636
1383.1195302264077,1457.5705927227496,1503.433668506506,1513.5500225121305
1385.301814386736,1455.6165734282833,1505.1353217316507,1514.943048837418
1379.4430412530303,1458.9195330489424,1498.2292427310947,1512.7774202065889
1385.559030044388,1457.200740628443,1505.7720398638776,1515.1705107380496
1376.6488225855003,1452.7640498240678,1494.4189291632347,1510.9850906294164
1376.6554979778857,1457.5177027808475,1493.925336178977,1512.1816503787716
