pH,pH_lower_upper,pL,pL_lower_upper
1455.2241118065474,"(57.03073252079662, 27.54879719205701)",1403.906356543558,"(58.501183910625286, 18.21414342009416)"
22.378287636959833,"(18.17447419942026, 39.50577766408512)",44.76677384469548,"(44.76677384469487, 37.09749270484831)"
