lv1,lv2,lv3,lv4
1377.445233886389,1447.8225229360203,1511.7723476961219,NaN
1386.970857438276,1450.7991164654334,1450.7991164694524,NaN
1382.6438204892172,1449.967760568346,1512.2448166330776,NaN
1381.3395627494579,1449.5989877424288,1512.1315899479894,NaN
1376.5558277251655,1449.107531808621,1512.0640980392252,NaN
1375.4028335945534,1447.5259194907478,1511.7559371394714,NaN
1383.8726093327907,1442.3061319831284,1511.1579792401647,NaN
1383.1885661445365,1444.0747195979648,1511.3156543428552,NaN
1374.5395182439559,1438.8324706668827,1510.161823140478,NaN
1379.1959483523601,1443.5125555058448,1510.9938533106774,NaN
1383.3392932488268,1447.7582188146068,1511.8992378204011,NaN
1386.0623850161999,1441.1721849899495,1511.4889815194126,NaN
1385.0736598570988,1451.6416591416164,1512.722842071215,NaN
1380.7965849083434,1442.7772001855378,1510.9412323245501,NaN
1379.7246510600378,1447.485280208591,1511.7027869784476,NaN
1373.7243898397626,1439.7556015602204,1510.3090052505372,NaN
1385.6380046207855,1442.2913203989476,1511.4876743492775,NaN
1376.4606476577717,1438.077584172361,1510.0762381798286,NaN
1378.7957980199703,1444.1335812484745,1511.0887099732402,NaN
1378.4646512468676,1442.9786940365038,1510.8879328868632,NaN
1383.7587045286105,1450.6118889734719,1512.4259322962719,NaN
1375.935707118474,1448.608054486633,1511.9740150612315,NaN
1378.4681509581799,1441.8829310293997,1510.7102490518419,NaN
1383.3944086524884,1447.062646185348,1511.7902131502165,NaN
1375.315952819842,1437.8604228734814,1510.0208248071701,NaN
1385.1058920015605,1448.210771157163,1512.1596671162297,NaN
1381.08119468372,1438.5612174502128,1510.3691923772049,NaN
1374.6804387147924,1444.1227888472258,1511.0832510841094,NaN
1382.361801330445,1444.996636491901,1511.381756835165,NaN
1380.9595607537822,1450.1399483028688,1512.2306368516747,NaN
1384.8271824915503,1450.2303456079353,1512.4514327892987,NaN
1381.8169890912031,1448.7331490832537,1511.9832925704318,NaN
1383.7094115415312,1443.0478531936863,1511.2329846411953,NaN
1382.5511252854228,1444.3016467407067,1511.2902705760441,NaN
1374.2421906463774,1442.668569176048,1510.8163572934839,NaN
1385.337643746422,1450.707931928276,1512.5911743399965,NaN
1384.1313713389955,1440.3705974106679,1510.9642204525237,NaN
1381.3728292148144,1448.6110026460992,1511.9460812300306,NaN
1379.0634452438476,1449.889622267561,1512.1785213065218,NaN
1383.1661255699564,1447.360458662926,1511.820088626852,NaN
1381.6465203951216,1443.7186251423345,1511.1354692107886,NaN
1383.448229482071,1442.9898996773277,1511.1926686884485,NaN
1375.5358550707367,1441.227017114897,1510.5596946761275,NaN
1387.1636583688378,1443.81526687354,1502.2214941003574,NaN
1381.301139450355,1450.562118044212,1512.3196326555458,NaN
1380.9738810655697,1436.914584776293,1510.1540168254544,NaN
1374.8480934730662,1437.392752128856,1509.9430279398757,NaN
1384.6572542448353,1448.4509042621105,1512.1396401665204,NaN
1382.6437014475446,1443.9490554783858,1511.2456812260525,NaN
1375.4036378675037,1436.337985606861,1509.7987696054652,NaN
1386.8647575911127,1444.9193705870653,1501.693421459372,NaN
1381.0747529755154,1449.849757725053,1512.1750652835544,NaN
1385.353962191526,1439.7986790566467,1511.16397740023,NaN
1379.3995852165751,1444.9908291344216,1511.2484005932886,NaN
1381.6325303989022,1441.4361689851883,1510.8004262399415,NaN
1380.9176067795468,1448.4851209149083,1511.9107024129391,NaN
1384.6040808256369,1449.1380424037093,1512.2447523162098,NaN
1380.379193245027,1444.1566065052493,1511.1386960624668,NaN
1381.8024934226196,1447.3584450272588,1511.7374765973257,NaN
1382.6057560329964,1440.4616115834351,1510.7615025068467,NaN
1378.9962906376193,1445.5866811359012,1511.3458026994053,NaN
1377.8172953405992,1439.8721650719551,1510.3801551816553,NaN
1381.6947134065106,1444.101140817891,1511.1973386670556,NaN
1373.3166167906527,1443.1067696460623,1510.9110774397568,NaN
1381.3191611457808,1440.199760986726,1510.6051420959066,NaN
1382.9130163114087,1442.8711389818634,1511.1167731824614,NaN
1379.6897019408327,1449.7635559091648,1512.1483561706723,NaN
1379.0320266676415,1438.1737418701807,1510.1826111846378,NaN
1377.5198409910681,1437.1050881566605,1509.9691241141597,NaN
1381.2223306285566,1448.569463364116,1511.934090741155,NaN
1373.7202757103746,1438.6679315104834,1510.130555002576,NaN
1378.5543025177737,1448.4681056461939,1511.8910054867786,NaN
1379.0156608100936,1436.1647127559556,1509.914930363351,NaN
1375.4723421145775,1440.853561294961,1510.4968625694594,NaN
1384.602523194852,1441.2726844208169,1511.1525422646744,NaN
1382.9581370786066,1437.268980942153,1510.4298273630798,NaN
1385.547186973567,1441.4700679915597,1511.3787552484443,NaN
1385.8005439740605,1450.8322884952875,1512.6740191272254,NaN
1384.2681545691669,1445.8232396591154,1511.692005646198,NaN
1387.0024835426113,1442.1816873328587,1502.1955448349815,NaN
1379.525580274647,1448.4245946300025,1511.8807776528777,NaN
1387.4773235818263,1445.0598103860536,1502.5042487981382,NaN
1375.1926563766153,1438.2150467976592,1510.0728273463344,NaN
1375.744649922656,1446.0482542225732,1511.4423483341934,NaN
1385.9500047328977,1443.1521482927394,1511.6583057481678,NaN
1383.8268985642087,1447.5290642451373,1511.9042538356289,NaN
1375.6649481170011,1439.8010420540636,1510.3269407398413,NaN
1380.1751683029868,1448.6093690312105,1511.9216106113013,NaN
1382.9559505008633,1450.3871616591907,1512.3376711426129,NaN
1381.048765099644,1442.4572506745064,1510.9075058300973,NaN
1381.1105603876042,1448.8727444799304,1511.987998471568,NaN
1375.438957578847,1435.560306807726,1509.689728295838,NaN
1377.9745346192608,1436.7893539968297,1509.9441117744093,NaN
1375.6596919788763,1441.9670773639086,1510.6861202030468,NaN
1369.0798897223497,1438.0807853632014,1510.0550809814026,NaN
1378.4081696966239,1446.1169169382677,1511.436721937292,NaN
1372.7525292358666,1445.806038326403,1511.474984528823,NaN
1385.1910884123658,1443.3767120372572,1511.5134040923547,NaN
1382.5000738200038,1442.779499025825,1511.063698569528,NaN
1385.7756859165036,1451.8352413452383,1512.8391314605076,NaN
1382.853870758357,1446.9257915505045,1511.725485387652,NaN
